Datetime,Open,High,Low,Close,Adj Close,Volume
2022-06-30 19:00:00+00:00,18984.56640625,18984.56640625,18950.865234375,18951.103515625,18951.103515625,33511424
2022-06-30 19:15:00+00:00,18951.341796875,18991.546875,18925.982421875,18983.26953125,18983.26953125,146819072
2022-06-30 19:30:00+00:00,18980.0234375,19007.046875,18951.0703125,18951.0703125,18951.0703125,135327744
2022-06-30 19:45:00+00:00,18922.345703125,18953.29296875,18906.982421875,18926.86328125,18926.86328125,86409216
2022-06-30 20:00:00+00:00,18924.521484375,18967.373046875,18913.384765625,18967.373046875,18967.373046875,0
2022-06-30 20:15:00+00:00,18974.861328125,19028.009765625,18974.861328125,19024.46484375,19024.46484375,108371968
2022-06-30 20:30:00+00:00,19024.5703125,19024.5703125,18875.28515625,18875.28515625,18875.28515625,4722688
2022-06-30 20:45:00+00:00,18870.51953125,18870.51953125,18729.65625,18741.2265625,18741.2265625,195166208
2022-06-30 21:00:00+00:00,18766.5703125,18879.890625,18764.0625,18879.890625,18879.890625,298452992
2022-06-30 21:15:00+00:00,18889.794921875,18913.8125,18887.783203125,18891.671875,18891.671875,155422720
2022-06-30 21:30:00+00:00,18874.400390625,18925.669921875,18874.400390625,18909.73828125,18909.73828125,65243136
2022-06-30 21:45:00+00:00,18874.39453125,18892.435546875,18855.189453125,18855.189453125,18855.189453125,73050112
2022-06-30 22:00:00+00:00,18835.3046875,18839.2109375,18772.197265625,18774.4609375,18774.4609375,53147648
2022-06-30 22:15:00+00:00,18780.3671875,18877.41015625,18780.3671875,18877.41015625,18877.41015625,0
2022-06-30 22:30:00+00:00,18869.654296875,18912.64453125,18862.802734375,18912.64453125,18912.64453125,9508864
2022-06-30 22:45:00+00:00,18912.9296875,18921.064453125,18903.177734375,18906.6796875,18906.6796875,80844800
2022-06-30 23:00:00+00:00,18890.51171875,18959.267578125,18887.5703125,18959.267578125,18959.267578125,59740160
2022-06-30 23:15:00+00:00,18958.771484375,18978.521484375,18958.771484375,18972.2890625,18972.2890625,58994688
2022-06-30 23:30:00+00:00,18995.27734375,19075.51171875,18995.27734375,19055.6796875,19055.6796875,210538496
2022-06-30 23:45:00+00:00,19055.939453125,19786.396484375,19055.939453125,19786.396484375,19786.396484375,1705392128
2022-07-01 00:00:00+00:00,19878.185546875,19878.185546875,19705.64453125,19759.923828125,19759.923828125,614045696
2022-07-01 00:15:00+00:00,19745.240234375,19864.544921875,19725.978515625,19864.544921875,19864.544921875,295391232
2022-07-01 00:30:00+00:00,20038.359375,20632.671875,20038.359375,20418.228515625,20418.228515625,1731022848
2022-07-01 00:45:00+00:00,20424.2734375,20449.892578125,20320.0390625,20320.0390625,20320.0390625,388376576
